likwid-perfctr -C 3 -g L3 -O -m ./newtonPC < entrada.dat
--------------------------------------------------------------------------------
CPU name:	Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz
CPU type:	Intel Coffeelake processor
CPU clock:	3.41 GHz
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.40796666 GHz,
TABLE,Region n_newtonDefault_10,Group 1 Raw,L3,5
Region Info,Core 3,
RDTSC Runtime [s],0.043220,
call count,1,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,1707183
CPU_CLK_UNHALTED_CORE,FIXC1,2605844
CPU_CLK_UNHALTED_REF,FIXC2,3791826
L2_LINES_IN_ALL,PMC0,108966
L2_TRANS_L2_WB,PMC1,7829
TABLE,Region n_newtonDefault_10,Group 1 Metric,L3,10
Metric,Core 3,
Runtime (RDTSC) [s],0.0432,
Runtime unhalted [s],0.0008,
Clock [MHz],2342.0456,
CPI,1.5264,
L3 load bandwidth [MBytes/s],161.3570,
L3 load data volume [GBytes],0.0070,
L3 evict bandwidth [MBytes/s],11.5932,
L3 evict data volume [GBytes],0.0005,
L3 bandwidth [MBytes/s],172.9502,
L3 data volume [GBytes],0.0075,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.40796666 GHz,
TABLE,Region n_newtonDefault_gradient_10,Group 1 Raw,L3,5
Region Info,Core 3,
RDTSC Runtime [s],0.000009,
call count,50,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,204350
CPU_CLK_UNHALTED_CORE,FIXC1,421193
CPU_CLK_UNHALTED_REF,FIXC2,617842
L2_LINES_IN_ALL,PMC0,16915
L2_TRANS_L2_WB,PMC1,1241
TABLE,Region n_newtonDefault_gradient_10,Group 1 Metric,L3,10
Metric,Core 3,
Runtime (RDTSC) [s],8.945507e-06,
Runtime unhalted [s],0.0001,
Clock [MHz],2323.2666,
CPI,2.0611,
L3 load bandwidth [MBytes/s],121017.1766,
L3 load data volume [GBytes],0.0011,
L3 evict bandwidth [MBytes/s],8878.6471,
L3 evict data volume [GBytes],0.0001,
L3 bandwidth [MBytes/s],129895.8237,
L3 data volume [GBytes],0.0012,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,3.40796666 GHz,
TABLE,Region n_newtonDefault_hessian_10,Group 1 Raw,L3,5
Region Info,Core 3,
RDTSC Runtime [s],0.000032,
call count,50,
Event,Counter,Core 3
INSTR_RETIRED_ANY,FIXC0,337422
CPU_CLK_UNHALTED_CORE,FIXC1,473960
CPU_CLK_UNHALTED_REF,FIXC2,687422
L2_LINES_IN_ALL,PMC0,16572
L2_TRANS_L2_WB,PMC1,1144
TABLE,Region n_newtonDefault_hessian_10,Group 1 Metric,L3,10
Metric,Core 3,
Runtime (RDTSC) [s],3.151321e-05,
Runtime unhalted [s],0.0001,
Clock [MHz],2349.7064,
CPI,1.4047,
